,username,id,displayname,description,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,label,party,district_code
5718,RLkBjp,3166281025,Rudra Laxmikant Awasthi,"क्षेत्रीय महामंत्री भारतीय जनता युवा मोर्चा , मंडल प्रभारी भाजपा ,
पूर्व लोकसभा विस्तारक भाजपा,
पूर्व संगठन मंत्री अखिल भारतीय विद्यार्थी परिषद",False,2015-04-21T04:50:29+00:00,2081,899,11346,34959,,bjp,BRL
5720,akhilmursan,783895537338683396,Akhil Chaudhary Mursan,Law student ॥ Independent Students & Social activist at Hathras ॥ Descendant - Mursan Riyasat ॥ Works @Jatassociation .,False,2016-10-06T05:03:54+00:00,6096,25,6164,28125,,bjp,HAT
5723,rcp2congress,2827595364,Dr.RC Pandey,"Managing Director,AYUSH HealthCentre
President,Society for Comunity Devlopment &Reserch intitute.
Coordinator,-in-AICC-Kisan Congress
Member UPCC",False,2014-09-23T07:49:35+00:00,731,785,3197,4798,,inc,JNP
5725,BJP4GOVINDPURAM,1266996178119319552,भाजपा गोविंदपुरम मण्डल 🚩,"भाजपा गोविंदपुरम मंडल, (महानगर गाजियाबाद) का आधिकारिक अकाउंट. 🟢













सबका साथ, सबका विकास, सबका विश्वास 🇮🇳",False,2020-05-31T07:33:49+00:00,434,131,706,1115,,bjp,GZB
5726,shera_akhtar,702835120101838848,shera akhtar ansari,जिला उपाध्यक्ष समाजवादी लोहिया वाहिनी भदोही,False,2016-02-25T12:38:45+00:00,170,50,117,1321,,sp,BDH
5727,imsp495,3013611818,🇮🇳 Adv Sach!N AzaD PandeY 🇮🇳,ज़िला उपाध्यक्ष - भाजपा युवा मोर्चा,False,2015-02-08T16:43:06+00:00,1020,3245,9239,24072,,bjp,LCK
5729,AnujPanday_,964771514,अनुज पाण्डेय 🇮🇳,"प्रधान, ग्राम पंचायत खनिकलाजहांनपुर जनपद हरदोई (उ0 प्र0)

नि0 मंडल अध्यक्ष (सवायजपुर, हरदोई)",False,2012-11-22T18:49:41+00:00,1296,1608,1553,10304,,bjp,HAR
5730,SpOsamaAnsari50,905640675424616453,Sp Osama Ansari 🇮🇳 اسامہ انصاری,"(प्रदेश सचिव) ऊ० प्र०

मुलायम सिंह युथ ब्रिगेड (समाजवादी पार्टी)
विधानसभा 356 मऊ 
State Secretary (Mulayam Singh Youth Brigade )",False,2017-09-07T03:55:37+00:00,520,966,19060,56662,,sp,LCK
5731,siddharthbastii,1251512194363265025,Siddharth Singh,"राष्ट्रीय अध्यक्ष मुलायम सिंह यूथ ब्रिगेड,समाजवादी पार्टी",False,2020-04-18T14:05:51+00:00,464,13,101,157,,sp,BAS
5732,SyedSab16211535,810365519241117696,🇮🇳 सय्यद साबिर अली🇮🇳,"■State Social Media Co-ordinator @NSUIUPWest■|Social Activist|

@Nsui

दिल दिया है जान भी देंगें ए वतन तेरे लिए ।",False,2016-12-18T06:06:10+00:00,1898,255,190386,348574,,inc,BRL
5734,my1manish,4039053496,Manish Yadav,Leader samajwadi party,False,2015-10-25T12:56:46+00:00,615,124,1240,1701,,sp,LCK
5737,DivakarSinghR10,1170371574718795776,Divakar Singh Rajput,निवर्तमान जिला उपाध्यक्ष (पि०वर्ग) भाजपा हरदोई,False,2019-09-07T16:21:55+00:00,366,251,448,9842,,bjp,HAR
5740,KPSINGHBJP1910,1314771517738299394,केपी सिंह बीजेपी,member of BJP and social worker,False,2020-10-10T03:35:56+00:00,773,4470,750,786,,bjp,MUZ
5742,Rajnish_Mishra1,957702351434821632,रजनीश मिश्रा 🇮🇳,"#भाजपा सदस्य युवा मोर्चा 🚩
#Bjp_Cell🚩",False,2018-01-28T19:50:08+00:00,20089,2880,48319,3000,,bjp,ALH
5745,kanhiyabajrangi,1122425171619409920,YASHPALFOUZDAR JAAT,"Ex. मंडल मंत्री गोंडा अलीगढ़,  
Ex. मंडल उपाध्यक्ष गोंडा अलीगढ़,
युवा नेता गोंडा अलीगढ़ उत्तर प्रदेश",False,2019-04-28T08:59:49+00:00,182,1870,10178,10815,,bjp,ALG
5751,dksharmasge,129154018,Dharmendra Kumar Sharma,"Secretary, AIPC Agra, Fan of Dr. ManMohan Singh ji. एक धनी वर्ग ने देश को धर्म और जाति के झंझावटों में उलझाया है और निजी जीवन में धन को सर्वश्रेष्ठ मानते हैं",False,2010-04-03T10:16:56+00:00,2688,2396,35827,81990,,inc,AGR
5753,Nitin_sh0047,1306482777274032129,Nitin Sharma,जिला अध्यक्ष  युवा कांग्रेस  सहारनपुर उत्तर प्रदेश @,False,2020-09-17T06:39:26+00:00,164,212,1313,3108,,inc,SAH
5755,SanjuDeviMLA,876387252691226624,SANJU DEVI,"MLA (TANDA Constituency,278) Bhartiya Janta Party",True,2017-06-18T10:32:58+00:00,5211,176,1189,656,,bjp,AMB
5757,CaptVijaySr7,1000758145021427712,Capt Vijay Srivastav,"जिला संयोजक सोशल मीडिया विभाग भाजपा बाराबंकी। प्रदेश अध्यक्ष वंश गोपाल राष्ट्रीय पुनर्वास ट्रस्ट उत्तर प्रदेश, महामंत्री सैनिक सम्मान अभियान बाराबंकी।",False,2018-05-27T15:18:29+00:00,783,113,5875,6602,,bjp,LCK
5763,gkpbjpit,806181958938165248,भाजपा गोरखपुर महानगर,"Official Twitter Handle of BJP Gorakhpur City








handle by @csraginigupta",False,2016-12-06T17:02:11+00:00,871,199,2769,3023,,bjp,GOR
5764,sudhanshubjpjnp,861491792608243712,Sudhanshu Singh,भाजपा नेता जौनपुर,False,2017-05-08T08:03:43+00:00,112,96,41,46,,bjp,JNP
5768,Mahendr41004445,4724565972,Mahendra Singh,"अध्यक्ष, यूथ कांग्रेस जिला बरेली (उ.प्र)",False,2016-01-07T18:23:30+00:00,405,1068,967,679,,inc,BRL
5769,iamravimishr,979943085995057152,RAVI MISHRA🇮🇳,"पूर्व उपाध्यक्ष कानपुर यूनिवर्सिटी 2016-17
Traveller /EX-KVian /EX-ABVPIAN 
!भारत माता की जय!जय हिन्द!🇮🇳",False,2018-03-31T04:46:52+00:00,418,91,808,8345,,bjp,KNN
5770,arunksagarbjp,1157882802001477632,Arun Kumar Sagar,"आधिकारिक अकाउंट :- सांसद (MP), लोकसभा क्षेत्र 27-शाहजहाँपुर, उत्तर प्रदेश",False,2019-08-04T05:15:47+00:00,1517,268,2026,329,,bjp,SHJ
5772,vijay241123,1246469519578550274,विजय सिंह परमार 🇮🇳,"🕉️🚩धर्मो रक्षति रक्षितः🚩🕉️
हिन्दू-राज 🚩(⚔️जय मां भवानी ⚔️)
                     कार्यकर्ता- राष्ट्रीय बजरंग दल 🚩",False,2020-04-04T16:08:18+00:00,1317,1183,5040,19241,,bjp,HAR
5774,INCKamalSinghC1,1194514995372912640,Kamal Singh Chauhan INC Raebareli,"🇮🇳🇮🇳 प्रदेश महासचिव सोशल मीडिया उत्तर प्रदेश कांग्रेस कमेटी , मेरी सासंद श्रीमती सोनिया गांधी जिंदाबाद , राहुल गांधी व,प्रियंका दीदी जिंदाबाद🇮🇳 🇮🇳",False,2019-11-13T07:19:15+00:00,2888,4995,47443,41908,,inc,BRL
5777,isuraj_here,2894937517,Sooraj Shukla,"लखनऊ 📍

Politico ll BJP UP ll @bjp4india @bjp4up ll",False,2014-11-09T16:11:21+00:00,864,729,806,7550,,bjp,LCK
5778,sanjivsharmabjp,737272268510900224,SANJEEV SHARMA,"अध्यक्ष, भाजपा महानगर गाजियाबाद (President, BJP Mahanagar Gzb)
facebook.com/SanjivSharmasa…

RT's not endorsement.

@Bjp4UP
@Bjp4Ghaziabad",False,2016-05-30T13:19:41+00:00,10044,4690,20794,16368,,bjp,GZB
5779,BGforINC,1099157683884752896,Bipin Gupta,"|| Social Activist || Believer of Humanity ||    
                  कर्म प्रधान विश्व रचि राखा ।
जो जस करै सो तस फल चाखा ।",False,2019-02-23T04:03:07+00:00,1293,654,30221,47997,,inc,LCK
5780,Divyachauhanbjp,1029975388695318528,Divya Chauhan.,"MBA. State excutive committee member of BJP youth wing Uttar Pradesh

( Instagram Divya_chauhan_001)",False,2018-08-16T06:17:23+00:00,12142,402,4837,32771,,bjp,AGR
5781,YaduvanshiBp,406533345,Brij Mohan Yadav { BP Yaduvanshi },"पेशे से किसान हूँ ,
Followers of Lohia Ji ,
हिन्दू हूँ देश का भाजपा का नहीं ,
Son of a Cancer Survivor ,
लेकिन लड़ना अकेले है ये भी जनता हूँ , Media Strategist.",False,2011-11-06T20:54:53+00:00,7005,978,28160,5853,,bjp,AGR
5785,JPYadavFatehpur,1188137490596663296,J P Yadav,Jiladhyaksh Samajwadi Party Yuvjan Sabha,False,2019-10-26T16:57:41+00:00,596,1284,122,389,,sp,FTH
5788,SushilKU4BJP,2304109735,Sushil Kumar Upadhyay,"प्रदेश कार्यसमिति सदस्य भाजपा उत्तर प्रदेश।
पूर्व जिलाध्यक्ष भाजपा जौनपुर।
अधिवक्ता कलेक्ट्रेट जौनपुर।",False,2014-01-22T03:07:06+00:00,7394,112,4579,27604,,bjp,JNP
5789,SatyendraBajp16,1377524560476565510,Satyendra Bajpai,I.T. Convener of assembly 270 Dariyabad  barabanki B.J.P. 🙏🚩,False,2021-04-01T07:34:10+00:00,578,781,10927,21374,,bjp,AYD
5791,rohitjhunsi,1114362746,रोहित निषाद (पंकज),मंण्डल उपाध्यक्ष झूंसी गंगापार प्रयागराज,False,2013-01-23T13:18:16+00:00,1046,4622,4874,23371,,nishad,ALH
5795,comm_idea,4835125189,जितेन्द्र कुमार भारती,"सपा नेता 96-जसराना 
जिला अध्यक्ष
किसान बेरोजगार एकता महासभा फिरोजाबाद",False,2016-01-30T12:49:55+00:00,722,1651,355,4038,,sp,VAR
5796,chanchals0161,3104217073,Chanchal Sharma,"प्रदेश सचिव-उत्तर प्रदेश युवा कांग्रेस (पूर्वी) प्रभारी - सोनभद्र जनपद,पूर्व कोऑर्डिनेटर कैण्ट विधानसभा युवा कांग्रेस,वाराणसी",False,2015-03-23T04:01:25+00:00,415,65,356,1236,,inc,VAR
5798,AnandYadav_Adv,1141245047590887425,Anand Prakash Yadav Adv.,"अधिवक्ता
पूर्व जिला पंचायत सदस्य,बहराइच 
पूर्व जिला सचिव समाजवादी पार्टी,बहराइच
#288_विधानसभा_कैसरगंज_बहराइच",False,2019-06-19T07:23:17+00:00,89,967,447,455,,sp,BAH
5800,KishanGupta_INC,2971724052,Kishan jeetu Gupta,"PGDM,Political Activist, Son of PCC Member & Ex Distt President of Congress Party, 
राहुल गांधी का सिपाही",False,2015-01-10T10:56:04+00:00,2907,5000,6827,84341,,inc,CHK
5801,Anshuydvv,4440914896,यदुवंशी अंशू यादव,"सदस्य प्रदेश कार्यकारिणी लोहियावाहिनी,
अध्यक्ष- समाजएकता युवा टीम",False,2015-12-10T19:59:10+00:00,1783,1008,8436,31165,,sp,FTH
5805,ManishSinghSP,811503159923326976,Manish Singh,राष्ट्रीय महासचिव समाजवादी युवजन सभा - समाजवादी पार्टी,False,2016-12-21T09:26:45+00:00,577,216,718,490,,sp,DEO
5806,DrDeepakYadav5,3274399488,Dr.Deepak Yadav,"सदस्य, प्रांतीय कार्यकारिणी , प्रगतिशील समाजवादी पार्टी (यु.स.)
,Senior Homoeopathic Consultant",False,2015-07-10T13:07:20+00:00,381,291,170,1302,,sp,VAR
5807,Mohdsohail__,3317538217,Mohd Sohail ( आगरा ),"राष्ट्रीय सचिव लोहिया वाहिनी
पूर्व राष्ट्रीय सचिव मुलायम सिंह यादव यूथ ब्रिगेड समाजवादी पार्टी 
पूर्व राष्ट्रीय सदस्य यूथ ब्रिगेड समाजवादी पार्टी",False,2015-08-17T06:49:26+00:00,334,32,9038,7316,,sp,AGR
5808,rambahadurhdi,791273563030294532,Rambahadur Singh,"सदस्य छेत्रीय कार्य समिति, छेत्रीय संयोजक पंचायत प्रकोष्ठ अबध छेत्र,पूर्व जिलाध्यक्ष भाजपा हरदोई, पूर्व जिलाध्यक्ष युवा मोर्चा, पूर्व अध्यक्ष छात्र संघ,,",False,2016-10-26T13:41:33+00:00,338,237,83,199,,bjp,HAR
5811,AmarNath119,1185185024766668800,Amar Nath Tiwari,"#SwayamSewak🇮🇳National Proud Indian & Proud BJP Member & Rambhakt |Ovser&Analyst |Nationalist |Proud Indian|
Personal Tweet",False,2019-10-18T13:26:57+00:00,5474,247,384195,86058,,bjp,GOR
5812,rajeev95195,235932060,"Rajeev Kkumar Gupta 🚩जिलाध्यक्ष, भाजपा बदायूँ","पूर्व क्षेत्रीय मन्त्री भाजपा ब्रज, पूर्व चेयरमैन नगरपालिका दातागंज, बदायूँ (उत्तर प्रदेश) ... धर्मो रक्षति रक्षितः 💐 जय श्री राम",False,2011-01-09T12:09:24+00:00,2586,3380,1079,3480,,bjp,KAS
5813,Sureshc56295702,1108312450275962881,Sureshchandgupta,"जिलामंत्री भाजपा मछलीशहर ,संयोजक लोकसभा मछलीशहर किसान मोर्चा व अधिवक्ता सिविल कोर्ट जौनपुर उ.प्र.",False,2019-03-20T10:20:54+00:00,97,464,156,911,,bjp,JNP
5814,BspUmesh,1093042230489567232,Umesh Tiwari BSP Bahraich,working  at BSP since  2000,False,2019-02-06T07:02:30+00:00,1139,588,1236,5358,,bsp,ALH
5815,YashGurjar_inc,1238332632125112322,Yash Gurjar,congress worker,False,2020-03-13T05:14:53+00:00,272,490,613,37,,inc,AGR
5817,brijeshsp2022,788680701541507072,"बृजेश मिश्र (310, विधानसभा बस्ती सदर)","स्व० ब्रजभूषण तिवारी जी अमर रहे, 9415083971, 8318742955 🚲🚲लक्ष्य 2022🚲🚲 351+ फिर लाएंगे समाजवाद ,आजीवन सदस्य समाजवादी पार्टी ,310 , विधानसभा बस्ती सदर।",False,2016-10-19T09:58:27+00:00,620,764,3521,3011,,sp,BAS
5818,beingmohdanas,1179000347198664704,Mohd Anas,"Politician

उपाध्यक्ष - 172 उत्तर विधानसभा 
उत्तर प्रदेश,लखनऊ",False,2019-10-01T11:49:35+00:00,103,310,916,10890,,sp,LCK
5820,Amitkalraj,807499937596329984,Fans Club of Amit Mishra,Fans Club,False,2016-12-10T08:19:22+00:00,56696,97,4977,10282,,bjp,LCK
5826,amitpandeymzp,1862426318,अमित कुमार पाण्डेय,"जिला उपाध्यक्ष
भारतीय जनता पार्टी मीरजापुर
#bjp4up
@bjp4mirzapur",False,2013-09-14T02:37:10+00:00,521,464,612,386,,bjp,MIR
5827,pal96452746,1064064154896613377,"Ram Kumar Pal, Advocate","Ex. President, Disttrict Cogress Committee, Ambedkar Nagar, PCC Member, Uttar Prdesh Congress Committee",False,2018-11-18T07:53:58+00:00,672,864,3163,0,,inc,AMB
5828,vivekupOfficial,2547204745,Vivek Pandey,"अध्यक्ष
कल्प सेवा संस्थान",False,2014-06-05T02:22:14+00:00,3615,4953,3504,11288,,bjp,BAR
5831,shivsagar1106,926050590328627201,Shiv Sagar Yadav,प्रदेश सचिव (यूथ ब्रिगेड) प्रगतिशील समाजवादी पार्टी “लोहिया”,False,2017-11-02T11:37:20+00:00,687,2143,21586,12489,,sp,GZB
5832,yogeshsinghddu,718873958519427072,Dr Yogesh Pratap Singh,"पूर्व छात्रसंघ उपाध्यक्ष गोरखपुर विश्वविद्यालय ,

पूर्व प्रदेश मंत्री भारतीय जनता पार्टी (युवा मोर्चा )",False,2016-04-09T18:51:22+00:00,1880,70,1332,6230,,bjp,GOR
5835,SANTOSH26814428,1124297786,सन्तोष भार्गव(सत्या),अध्यक्ष शहर कांग्रेस कमेटी सीतापुर,False,2013-01-27T07:38:21+00:00,1728,4652,1987,10047,,inc,SIT
5836,Avinash09683326,1194698394020696064,Avinash Shukla,प्रदेश सचिव सोशल मीडिया कांग्रेस कमेटी,False,2019-11-13T19:27:56+00:00,34,284,842,2153,,inc,PGH
5837,BJPPremKri73,846709731863408641,Prem Krishna,जिला संयोजक सोशल मीडिया विभाग भाजपा गोंडा उत्तर प्रदेश @BJP4UP,False,2017-03-28T13:05:05+00:00,1743,1357,1911,71499,,bjp,GON
5838,PurenduT,2841913992,purendu tiwari P D,प्रत्याशी ३४२ बरहज विधान सभा समाजवादी पार्टी,False,2014-10-06T03:53:05+00:00,3864,297,12920,17107,,sp,LCK
5839,advajayyadavsp,845336469631893504,Ajay Singh Yadav,"🚲जिला सचिव यूथ ब्रिगेड समाजवादी पार्टी🚲




     
     


  🚲जय अखिलेश🙏🙏 जय समाजवाद🚲🚲",False,2017-03-24T18:08:14+00:00,1002,768,2359,708,,sp,LCK
5841,ShwetaSingh_SP,1269699635704037376,Dr Shweta Singh,"Socialist,Poltician Samajwadi Party",False,2020-06-07T18:36:18+00:00,7600,468,2935,4271,,sp,LCK
5842,kumarashishbjym,770283232659202049,Ashish valmiki,"𝒔𝒐𝒄𝒊𝒂𝒍 & 𝒑𝒐𝒍𝒊𝒕𝒊𝒄𝒂𝒍 𝒂𝒄𝒕𝒊𝒗𝒊𝒔𝒕 /𝒅𝒆𝒗𝒊𝒔𝒊𝒏𝒐𝒍 𝒗𝒊𝒄𝒆 𝒑𝒓𝒆𝒔𝒊𝒅𝒆𝒏𝒕 | @bjp4up  𝒍𝒖𝒄𝒌𝒏𝒐𝒘 
संघ परिचय:- बाल्यकाल स्वयंसेवक",False,2016-08-29T15:33:28+00:00,4222,4997,26547,27890,,bjp,LCK
5845,AshaySrivastav,700619605,आशय 💬🇮🇳 🕉🚩,"गर्व से हिन्दू ,राष्ट्रीय स्वयंसेवक संघ का कार्यकर्ता @Rssorg works @bjym
 blessed by @beingarun28 @isinghapurva
@nehaltyagi08
#भगवाधारी #rss",False,2012-07-17T07:58:47+00:00,2795,3087,8419,13410,,bjp,LCK
5847,SinghHindesh,720495164742115328,Hindesh Singh,Works at BJP Amethi,False,2016-04-14T06:13:28+00:00,1823,665,1397,3180,,bjp,SUL
5848,RAJANKA82908958,1233816291519188993,Rajan Kannaujiya,जिला महासचिव समाजवादी पार्टी बलिया।,False,2020-02-29T18:08:57+00:00,331,48,1236,2922,,sp,BAL
5850,MohdFai05559506,918134317263421440,Mohd Faisal,"LucknowDentist Lucknow🚴🚴
politician at samajwadi party",False,2017-10-11T15:20:54+00:00,2104,733,4828,37304,,sp,LCK
5851,dkashyap24aonla,2402821957,Dharmendra kashyap,"Member of Parliament from 24 Aonla, Uttar Pradesh and Two times MLA from 123 Bithari Chainpur, Bareilly, Uttar Pradesh and worked as Minister in the State.",False,2014-03-22T06:47:29+00:00,2634,64,3682,4521,,nishad,BRL
5854,chandrabhanbjp,764015733789462529,Chandrabhan Paswan Chandu 💎,Bjp Amethi विधानसभा जगदीशपुर,False,2016-08-12T08:28:40+00:00,1254,800,739,1872,,bjp,AMT
5858,PresidentBSP,972083437564674048,Ashok Nishad | अशोक निषाद,"This is the official account of AshokNishad | Founder / National President of Bhartiya Sarvjan Party 🇳🇱 सदस्य, संयोजक, प्रत्याशी हेतु आवेदन करें📧9451513424",False,2018-03-09T12:15:26+00:00,25829,12305,8965,322321,,nishad,DEO
5861,Sirajud21207683,1290937015551156224,सिराजुद्दीन रहमानी,प्रदेश अध्यक्ष रहमानी कौमी एकता संघ उत्तर प्रदेश/ जिलाध्यक्ष सपा अल्पसंख्यक सभा गोरखपुर,False,2020-08-05T09:06:40+00:00,246,493,19,146,,sp,GOR
5863,Dwivedi_AUSU,1148116654833844224,Abhishek Dwivedi (AUSU ),"पूर्व इकाई अध्यक्ष,NSUI इलाहाबाद विश्वविद्यालय,छात्र नेता इ॰वि॰वि॰,पूर्व इकाई उपाध्यक्ष NSUI-AU",False,2019-07-08T06:28:36+00:00,2024,216,13506,29672,,inc,ALH
5865,SirajWaliKhaINC,410942045,siraj wali khan,Ex President district congress lucknow!,False,2011-11-12T19:46:46+00:00,252,242,2440,893,,inc,LCK
5867,rattiramkosma,1847071921,Rattiram kosma,"president aadivasi Congress
Balod jila CG  and General Secretary (Incharge) District Congress Committee Balod.",False,2013-09-09T14:55:23+00:00,2546,4992,757,3163,,inc,ALH
5868,ajaybjpdeo1122,785099191152500736,Ajay Upadhyay,Bjp,False,2016-10-09T12:46:48+00:00,150,162,58,178,,bjp,DEO
5869,pradeepchairman,791018884186845184,Pradeep Garg 🇮🇳,"चेयरमैन व्यापार मंडल, चेयरमैन सर्व धर्म सद्भावना समिति गाजियाबाद  | ( सह संयोजक चुनाव आयोग संपर्क विभाग प्रकोष्ठ भाजपा गाजियाबाद ) 
Follwed By @AnilagrwalMPBJP",False,2016-10-25T20:49:33+00:00,72,221,896,1765,,bjp,GZB
5870,Praveen78803425,1222529742181502976,युवा प्रवीन यादव,"संचालक- जगरनाथ इंटरमीडिएट कालेज एवं
क्षेत्र पंचायत सदस्य एवं जिला सचिव यूथ ब्रिगेड समाजवादी पार्टी देवरिया",False,2020-01-29T14:40:02+00:00,68,136,1443,4381,,sp,DEO
5871,yawaralirld,3109302289,Yawar Ali,राष्ट्रीय लोकदल .. प्रदेश सहसंयोजक आई टी प्रकोष्ठ    राष्ट्रीय लोकदल उत्तर प्रदेश युवा मंडल महासचिव मुरादाबाद,False,2015-03-27T05:16:43+00:00,2032,590,5191,21511,,rld,MOR
5872,ViveKMishrSLN,1351161730689282054,Vivek mishra,जिला उपाध्यक्ष सोशल मीडिया विभाग सुल्तानपुर,False,2021-01-18T13:37:42+00:00,243,184,1732,929,,inc,SUL
5873,eshuyadavsp,912663118739759104,Eshuyadav samajwadi,अध्यक्ष समाजवादी छात्रसभा कानपुर विश्वविधालय,False,2017-09-26T13:00:18+00:00,506,730,1021,5421,,sp,KNN
5877,gaurav_gupta84,1889730152,गौरव गुप्ता (टीम नमो),"Professional Accountant (CA inter), Co founder Shree Ram Ekta Foundation (NGO),Sanyojak Shram Vibhag Lajpat Nagar Mandal, BJP


 भारत माता की जय, वन्दे मातरम 🙏",False,2013-09-21T10:26:55+00:00,601,1608,3670,5505,,bjp,GZB
5879,MOHDREHANKHAN00,919846357124317184,MOHD REHAN मो०रेहान INC🇮🇳,टूट गई है विकास की डोर चलो चलें कांग्रेस की ओर।।,False,2017-10-16T08:43:56+00:00,502,432,1196,1715,,inc,AMT
5881,jayantpathak311,3832660759,Jayant Kumar pathak (INC),"जयन्त पाठक..
पूर्व उपाध्यक्ष/प्रवक्ता,
जिला कांग्रेस कमेटी,गोरखपुर(यूपी) &
Sep-2021 से,रा.गां.पं.रा.संगठन(कांग्रेस)
प्रदेश प्रवक्ता
उत्तर प्रदेश(पूर्वीजोन)",False,2015-10-09T04:27:17+00:00,225,677,15270,32842,,inc,GOR
5883,R_Lakhanpal,3312573337,Raghav Lakhanpal,"Ex Member of Lok Sabha from Saharanpur, Uttar Pradesh in 2014. Three term MLA in 2001, 2007 and 2012.",True,2015-08-11T15:06:22+00:00,27889,161,15490,18306,,bjp,SAH
5885,VPandey2210,1208347321634709505,विवेक पांडे,"बूथ अध्यक्ष भारतीय जनता पार्टी 

मोदी भक्त🚩",False,2019-12-21T11:25:01+00:00,1672,2052,9771,33589,,bjp,GOR
5887,VedKamal3,1216259496055472128,Ved Kamal,"General Secretary of District Congress Ayodhya,Uttar Pradesh.
Advocate
Studied at-: GIC Faizabad",False,2020-01-12T07:24:07+00:00,39,38,41,10,,inc,AYD
5889,PanditSamarjee2,1036648890554966016,Pandit Samarjeet ayodhya,जिला उपाध्यक्ष मुलायम सिंह यूथ ब्रिगेड सपा फैजाबाद,False,2018-09-03T16:15:30+00:00,19782,18024,1374,5905,,sp,AYD
5890,ABDUL_QADIR_SP,974052389484482560,ABDUL QADIR MALIK SP,छात्र सभा समाजवादी पार्टी मुरादाबाद,False,2018-03-14T22:39:21+00:00,235,641,12533,1231,,sp,MOR
5891,Satyam_Rauniyar,812564030183378944,Satyam Rauniyar 🇮🇳 सत्यम रौनियार,।।ॐ।। माँ भारती की आन-बान और शान तिरंगा। 🇮🇳❤👳 राष्ट्र के आगे कुछ नहीं .. ! 👉सर्वधर्म समभाव👈पहले इंसान बनो👏Proud to be an Indian🇮🇳👳 BJP Member🙏,False,2016-12-24T07:42:16+00:00,658,3747,5031,37347,,bjp,BAR
5896,JPNishad_Bjp,883604199124082688,Jai Prakash Nishad MP,"राज्यसभा सांसद ,भारतीय जनता पार्टी ,उत्तर प्रदेश",False,2017-07-08T08:30:32+00:00,365,29,560,793,,bjp,GOR
5898,parvezAappbt,951396499597934593,ParvezAAPpilibhit💙🌐🖊,"= Official Account =
@AAP4Pilibhit सोशल मीडिया जिला अध्यक्ष   @AAPUttarPradesh Next pm (2024) of India @ArvindKejriwal 
  #Fanof @SanjayAzadSln",False,2018-01-11T10:12:56+00:00,1378,3135,1089,40957,,aap,PIL
5899,jaiakhileshy,1297741696638136323,Yaduvanshi Nitesh yadav,"अधिवक्ता नितेश यादव  बार एसोसिएशन उन्नाव,
समाजवादी पार्टी कार्यकर्ता 164 उन्नाव,
 सामाजिक कार्यकर्ता, गरीबों का मसीहा,
Mb.9918445383.9005459159.",False,2020-08-24T03:45:43+00:00,92,355,177,0,,sp,UNN
5900,Bjpyashwants,754589497002696704,Yashwant Singh,विधायक ( सदस्य विधान परिषद ) M.L.C from U.P Leader @BJP4India,True,2016-07-17T08:12:10+00:00,1935,177,1469,934,,sp,LCK
5901,Neerajpandit76,957909707859025921,Neeraj Pandit,आपके अच्छे कर्म ही आप की सबसे बड़ी संपत्ति है,False,2018-01-29T09:34:06+00:00,1019,6,982,3922,,bjp,AYD
5903,UPCCAllahabad,1351501336735481856,Allahabad North Vidhan Sabha,Official Twitter Account Of Allahabad North Vidhan Sabha Congress (Allahabad),False,2021-01-19T12:07:08+00:00,312,31,99,126,,inc,ALH
5904,AnkitYa52587242,997379079799095297,Ankit Yadav SP Sultanpur,"1-IAS ASPIRANTS

2-सदस्य समाजवादी पार्टी उत्तर प्रदेश 


मेरे आदर्श-

1. बड़े भईया श्री अखिलेश यादव जी

2.बड़े भईया श्री तेजस्वी यादव जी 

मैकेनिकल इंजीनियर",False,2018-05-18T07:31:17+00:00,527,849,7972,20674,,sp,SUL
5905,upwestbjp,810834188563861504,BJP West UP,Official account of Bharatiya Janata Party West UP || भाजपा पश्चिम उत्तर प्रदेश,False,2016-12-19T13:08:29+00:00,39662,384,24609,35784,,bjp,MRT
5906,peeushbjp,175353213,Peeush Prakash Saxena,"जिला संयोजक 
भाजपा आईटी विभाग
 रामपुर",False,2010-08-06T11:01:29+00:00,2414,3644,6461,11356,,bjp,RAM
5907,RiteshS30079192,893086320301682689,Ritesh Singh Hindustani,"सत्यमेव जयते
BJP IT विभाग  जिला सह-संयोजक चन्दौली",False,2017-08-03T12:29:06+00:00,793,1003,18508,23355,,bjp,CHD
5908,qaziking786,1256613958447857666,Qazi Shaheer Alam,"महानगर अध्यक्ष युवा राष्ट्रीय लोकदल मुज़फ़्फ़रनगर
City President Yuva Rashtriya Lokdal Muzaffarnagar",False,2020-05-02T15:58:22+00:00,353,140,1799,3605,,rld,MUZ
5909,kamlawatiBJP,855682167854125056,Kamlawati Singh,"प्रदेश उपाध्यक्ष, भारतीय जनता पार्टी,उत्तर प्रदेश",False,2017-04-22T07:18:21+00:00,1288,587,2667,422,,bjp,KNN
5910,Amitpar48909440,865540238462009345,Amit parjapati,"हिंदु रक्षा दल प्रदेश अध्यक्ष
विधायक प्रत्याशी
BCA",False,2017-05-19T12:10:48+00:00,1520,683,675,2440,,bjp,GZB
5911,satyendra5454,838448955193163776,Satyendra Vishwakarma,पूर्व जिला मंत्री युवा मोर्चा भाजपा बस्ती (उ०प्र०),False,2017-03-05T17:59:43+00:00,687,447,5648,17569,,bjp,BAS
5912,AbrarAl32595081,1019579429855678464,Abrar Alvi,वरिष्ठ नेता समाजवादी पार्टी,False,2018-07-18T13:47:33+00:00,163,448,227,237,,sp,GZB
